source,target
@babel/helper-module-transforms,@babel/helper-validator-identifier
levn,prelude-ls
levn,type-check
type-check,prelude-ls
combined-stream,delayed-stream
call-bind-apply-helpers,es-errors
call-bind-apply-helpers,function-bind
@babel/helper-module-imports,@babel/types
@babel/helper-module-imports,@babel/traverse
rxjs,tslib
@smithy/is-array-buffer,tslib
@babel/helpers,@babel/types
@babel/helpers,@babel/template
fastq,reusify
istanbul-lib-instrument,@babel/core
istanbul-lib-instrument,@babel/parser
istanbul-lib-instrument,@istanbuljs/schema
istanbul-lib-instrument,istanbul-lib-coverage
istanbul-lib-instrument,semver
eslint,@eslint-community/eslint-utils
eslint,@eslint-community/regexpp
eslint,@eslint/config-array
eslint,@eslint/config-helpers
eslint,@eslint/core
eslint,@eslint/eslintrc
eslint,@eslint/js
eslint,@eslint/plugin-kit
eslint,@humanfs/node
eslint,@humanwhocodes/module-importer
eslint,@humanwhocodes/retry
eslint,@types/estree
eslint,ajv
eslint,chalk
eslint,cross-spawn
eslint,debug
eslint,escape-string-regexp
eslint,eslint-scope
eslint,eslint-visitor-keys
eslint,espree
eslint,esquery
eslint,esutils
eslint,fast-deep-equal
eslint,file-entry-cache
eslint,find-up
eslint,glob-parent
eslint,ignore
eslint,imurmurhash
eslint,is-glob
eslint,json-stable-stringify-without-jsonify
eslint,lodash.merge
eslint,minimatch
eslint,natural-compare
eslint,optionator
path-scurry,lru-cache
path-scurry,minipass
flat-cache,flatted
flat-cache,hookified
flat-cache,cacheable
@jest/schemas,@sinclair/typebox
dunder-proto,call-bind-apply-helpers
dunder-proto,es-errors
dunder-proto,gopd
uri-js,punycode
get-proto,dunder-proto
get-proto,es-object-atoms
magic-string,@jridgewell/sourcemap-codec
file-entry-cache,flat-cache
cli-cursor,restore-cursor
restore-cursor,onetime
restore-cursor,signal-exit
@babel/helper-compilation-targets,semver
@babel/helper-compilation-targets,lru-cache
@babel/helper-compilation-targets,browserslist
@babel/helper-compilation-targets,@babel/compat-data
@babel/helper-compilation-targets,@babel/helper-validator-option
extend-shallow,assign-symbols
extend-shallow,is-extendable
update-browserslist-db,escalade
update-browserslist-db,picocolors
call-bind,call-bind-apply-helpers
call-bind,es-define-property
call-bind,get-intrinsic
call-bind,set-function-length
define-property,is-descriptor
define-property,isobject
@typescript-eslint/typescript-estree,@typescript-eslint/project-service
@typescript-eslint/typescript-estree,@typescript-eslint/tsconfig-utils
@typescript-eslint/typescript-estree,@typescript-eslint/types
@typescript-eslint/typescript-estree,@typescript-eslint/visitor-keys
