package,risk_score,in_degree,out_degree,betweenness,is_topN
call-bind-apply-helpers,0.046072,4,2,0.000021,True
wrap-ansi,0.045849,4,3,0.000013,True
@aws-sdk/credential-provider-ini,0.045763,1,13,0.000001,True
readable-stream,0.045565,3,5,0.000019,True
@webassemblyjs/wasm-parser,0.044978,3,6,0.000010,True
babel-jest,0.044450,1,7,0.000043,True
@aws-sdk/middleware-user-agent,0.044100,2,7,0.000021,True
has-property-descriptors,0.043795,5,1,0.000002,True
define-data-property,0.043388,4,3,0.000007,True
jest-watcher,0.042923,2,8,0.000010,True
@smithy/fetch-http-handler,0.042830,3,5,0.000011,True
array.prototype.flat,0.042641,2,4,0.000039,True
find-up,0.042510,2,2,0.000054,True
@smithy/util-buffer-from,0.042222,4,2,0.000011,True
resolve,0.042213,3,3,0.000025,True
p-limit,0.041315,4,1,0.000016,True
@webassemblyjs/wasm-gen,0.041186,3,5,0.000007,True
braces,0.041036,1,1,0.000079,True
regexpu-core,0.040855,1,6,0.000041,True
@smithy/credential-provider-imds,0.040694,3,5,0.000006,True
@babel/helper-validator-identifier,0.040323,5,0,0.000000,True
acorn,0.040323,5,0,0.000000,True
estraverse,0.040323,5,0,0.000000,True
object-inspect,0.040323,5,0,0.000000,True
@webassemblyjs/helper-wasm-bytecode,0.040323,5,0,0.000000,True
es-define-property,0.040323,5,0,0.000000,True
@types/babel__core,0.040158,2,5,0.000026,True
function.prototype.name,0.039829,2,6,0.000017,True
unbox-primitive,0.039569,1,4,0.000053,True
@babel/helper-replace-supers,0.039555,3,3,0.000018,True
jest-environment-node,0.039554,2,7,0.000009,True
@smithy/signature-v4,0.039441,1,8,0.000022,True
@typescript-eslint/visitor-keys,0.039375,4,2,0.000004,True
is-regex,0.039244,3,4,0.000009,True
for-each,0.038363,4,1,0.000009,True
is-generator-function,0.038250,2,5,0.000021,True
jest-matcher-utils,0.038250,3,4,0.000007,True
is-glob,0.038068,4,1,0.000008,True
regexp.prototype.flags,0.037661,2,6,0.000011,True
side-channel-map,0.037596,2,4,0.000026,True
object.values,0.037166,3,4,0.000004,True
ts-node,0.037143,0,13,0.000000,True
@aws-sdk/credential-provider-web-identity,0.036685,2,7,0.000001,True
on-finished,0.036591,4,1,0.000004,True
array.prototype.flatmap,0.036527,2,4,0.000023,True
once,0.036296,4,1,0.000003,True
object.fromentries,0.036252,2,4,0.000023,True
dunder-proto,0.036220,3,3,0.000009,True
@eslint/eslintrc,0.036141,1,9,0.000006,True
is-array-buffer,0.035619,3,3,0.000007,True
set-function-length,0.035520,1,6,0.000027,True
domhandler,0.035263,4,1,0.000000,True
body-parser,0.035255,1,9,0.000004,True
@jridgewell/gen-mapping,0.035158,3,2,0.000014,True
which-collection,0.034845,1,4,0.000040,True
es-set-tostringtag,0.034717,2,4,0.000019,True
@smithy/middleware-retry,0.034648,1,9,0.000002,True
jest-changed-files,0.034645,1,3,0.000047,True
object.assign,0.034633,2,6,0.000004,True
protobufjs,0.034286,0,12,0.000000,True
@aws-sdk/credential-provider-node,0.034286,0,12,0.000000,True
got,0.034286,0,12,0.000000,True
@aws-sdk/credential-provider-process,0.033680,2,6,0.000001,True
@smithy/middleware-serde,0.032913,3,3,0.000000,True
is-string,0.032732,3,2,0.000007,True
js-yaml,0.032660,3,1,0.000015,True
@webassemblyjs/wasm-edit,0.032595,1,8,0.000004,True
side-channel-weakmap,0.032388,1,5,0.000026,True
array.prototype.findlastindex,0.032378,1,7,0.000011,True
available-typed-arrays,0.032365,3,1,0.000014,True
lru-cache,0.032258,4,0,0.000000,True
escape-html,0.032258,4,0,0.000000,True
signal-exit,0.032258,4,0,0.000000,True
is-callable,0.032258,4,0,0.000000,True
exit-x,0.032258,4,0,0.000000,False
unicorn-magic,0.032258,4,0,0.000000,False
function-bind,0.032258,4,0,0.000000,True
@types/istanbul-lib-coverage,0.032258,4,0,0.000000,True
encodeurl,0.032258,4,0,0.000000,True
inherits,0.032258,4,0,0.000000,True
esutils,0.032258,4,0,0.000000,True
istanbul-lib-coverage,0.032258,4,0,0.000000,True
statuses,0.032258,4,0,0.000000,True
object-keys,0.032258,4,0,0.000000,True
domelementtype,0.032258,4,0,0.000000,True
@types/json-schema,0.032258,4,0,0.000000,True
eslint-visitor-keys,0.032258,4,0,0.000000,True
ignore,0.032258,4,0,0.000000,True
@typescript-eslint/utils,0.032208,2,4,0.000012,True
@aws-sdk/util-endpoints,0.032186,2,5,0.000005,True
schema-utils,0.031986,2,4,0.000012,True
jest-diff,0.031691,2,4,0.000011,True
@smithy/config-resolver,0.031596,2,5,0.000003,True
fill-range,0.031588,1,1,0.000054,True
make-fetch-happen,0.031429,0,11,0.000000,True
terser-webpack-plugin,0.031207,1,5,0.000023,True
is-core-module,0.031184,3,1,0.000011,True
@aws-sdk/credential-provider-env,0.030823,2,5,0.000001,True
yargs,0.030817,1,6,0.000015,True
@jest/schemas,0.030796,2,1,0.000031,True
is-symbol,0.030275,2,3,0.000015,True
@typescript-eslint/scope-manager,0.030129,3,2,0.000001,True
qs,0.029615,2,1,0.000028,True
ansi-escapes,0.029413,3,1,0.000006,True
set-function-name,0.029054,2,4,0.000004,True
has-proto,0.028867,3,1,0.000005,True
iconv-lite,0.028822,3,1,0.000005,True
@smithy/util-defaults-mode-node,0.028729,1,7,0.000002,True
jsonwebtoken,0.028571,0,10,0.000000,True
string.prototype.trim,0.028397,1,7,0.000001,True
@aws-sdk/token-providers,0.028360,1,7,0.000001,True
arraybuffer.prototype.slice,0.028101,1,7,0.000000,True
string.prototype.trimend,0.027982,2,4,0.000001,True
form-data,0.027960,1,5,0.000015,True
is-async-function,0.027861,1,5,0.000014,True
@smithy/querystring-builder,0.027825,2,3,0.000008,True
es-shim-unscopables,0.027703,3,1,0.000002,True
read-pkg,0.027369,1,5,0.000013,True
optionator,0.027126,1,6,0.000005,True
istanbul-lib-report,0.027121,2,3,0.000006,True
@babel/plugin-transform-classes,0.026766,1,6,0.000004,True
@babel/plugin-transform-dotall-regex,0.026666,2,2,0.000013,True
source-map-support,0.026567,2,2,0.000012,True
@typescript-eslint/type-utils,0.026557,1,5,0.000011,True
espree,0.026177,2,3,0.000004,True
@babel/helper-module-imports,0.026075,2,2,0.000011,True
type-is,0.025881,2,3,0.000003,True
@aws-sdk/region-config-resolver,0.025798,1,6,0.000002,True
domutils,0.025734,2,3,0.000003,True
@typescript-eslint/eslint-plugin,0.025714,0,9,0.000000,True
ora,0.025714,0,9,0.000000,True
@smithy/util-endpoints,0.025586,2,3,0.000002,True
stack-utils,0.025481,2,1,0.000017,True
@smithy/util-retry,0.025291,2,3,0.000002,True
finalhandler,0.025207,1,6,0.000000,True
log-update,0.025007,1,5,0.000007,True
es-to-primitive,0.024755,1,3,0.000021,True
import-fresh,0.024500,2,2,0.000007,True
safe-array-concat,0.024269,1,5,0.000005,True
safe-push-apply,0.024205,2,2,0.000006,True
import-local,0.024205,2,2,0.000006,True
buffer,0.024205,2,2,0.000006,True
update-browserslist-db,0.024196,1,2,0.000027,True
prelude-ls,0.024194,3,0,0.000000,True
json5,0.024194,3,0,0.000000,True
ansi-styles,0.024194,3,0,0.000000,True
entities,0.024194,3,0,0.000000,True
content-type,0.024194,3,0,0.000000,True
@istanbuljs/schema,0.024194,3,0,0.000000,True
@xtuc/long,0.024194,3,0,0.000000,False
@jest/pattern,0.024194,3,0,0.000000,False
@jridgewell/sourcemap-codec,0.024194,3,0,0.000000,True
collect-v8-coverage,0.024194,3,0,0.000000,True
punycode,0.024194,3,0,0.000000,True
parseurl,0.024194,3,0,0.000000,True
agent-base,0.024194,3,0,0.000000,True
fast-deep-equal,0.024194,3,0,0.000000,True
ms,0.024194,3,0,0.000000,True
resolve-from,0.024194,3,0,0.000000,True
ci-info,0.024194,3,0,0.000000,True
js-tokens,0.024194,3,0,0.000000,True
math-intrinsics,0.024194,3,0,0.000000,True
ts-api-utils,0.024194,3,0,0.000000,True
imurmurhash,0.024194,3,0,0.000000,True
@webassemblyjs/helper-buffer,0.024194,3,0,0.000000,True
isarray,0.024194,3,0,0.000000,True
@babel/compat-data,0.024194,3,0,0.000000,True
convert-source-map,0.024194,3,0,0.000000,True
@aws-sdk/nested-clients,0.024194,3,0,0.000000,False
is-unicode-supported,0.024194,3,0,0.000000,True
escape-string-regexp,0.024194,3,0,0.000000,True
@nodelib/fs.walk,0.024112,1,2,0.000027,True
spdx-expression-parse,0.023910,2,2,0.000005,True
is-date-object,0.023664,2,2,0.000005,True
@aws-sdk/middleware-recursion-detection,0.023531,1,5,0.000003,True
@babel/preset-modules,0.023531,1,5,0.000003,True
typed-array-byte-length,0.023369,1,5,0.000003,True
terser,0.023331,1,4,0.000010,True
locate-path,0.023322,1,1,0.000032,True
slice-ansi,0.023319,2,2,0.000004,True
whatwg-url,0.023319,2,2,0.000004,True
https-proxy-agent,0.023172,2,2,0.000003,True
eslint-scope,0.022877,2,2,0.000003,True
@testing-library/dom,0.022857,0,8,0.000000,True
@babel/helper-member-expression-to-functions,0.022719,2,2,0.000002,True
cli-cursor,0.022529,2,1,0.000009,True
jest-each,0.022449,1,5,0.000000,True
levn,0.022434,2,2,0.000002,True
core-js-compat,0.022424,2,1,0.000009,True
@aws-sdk/util-user-agent-node,0.022350,1,5,0.000000,True
babel-preset-jest,0.022341,1,2,0.000022,True
array-buffer-byte-length,0.021942,2,2,0.000000,True
string-length,0.021939,2,1,0.000008,True
@babel/plugin-transform-optional-chaining,0.021917,2,2,0.000000,True
@smithy/middleware-stack,0.021843,2,2,0.000000,True
to-regex-range,0.021550,1,1,0.000028,True
normalize-package-data,0.021360,1,3,0.000012,True
@types/istanbul-reports,0.021255,1,1,0.000027,True
@types/yargs,0.021255,1,1,0.000027,True
is-descriptor,0.020969,1,4,0.000004,True
walker,0.020960,1,1,0.000026,True
fb-watchman,0.020960,1,1,0.000026,True
write-file-atomic,0.020864,1,2,0.000019,True
@webassemblyjs/helper-numbers,0.020818,1,3,0.000011,True
@webassemblyjs/ieee754,0.020758,2,1,0.000005,True
@babel/plugin-transform-modules-systemjs,0.020682,1,4,0.000003,True
@aws-sdk/util-user-agent-browser,0.020674,1,4,0.000003,True
@jest/test-sequencer,0.020536,1,4,0.000003,True
jest-docblock,0.020462,2,1,0.000004,True
@types/express-serve-static-core,0.020428,1,4,0.000002,True
object.groupby,0.020400,1,3,0.000010,True
@jest/globals,0.020330,1,4,0.000002,True
@babel/plugin-proposal-private-property-in-object,0.020231,1,4,0.000002,True
whatwg-encoding,0.020167,2,1,0.000003,True
pkg-dir,0.020167,2,1,0.000003,True
glob-parent,0.020167,2,1,0.000003,True
jsx-ast-utils,0.020110,1,4,0.000002,True
raw-body,0.020084,1,4,0.000002,True
@webassemblyjs/leb128,0.020020,2,1,0.000003,True
